Film,Film Characteristics,Cinema Name,Cinema Location
Mission: Impossible The Final Reckoning,"Action, Adventure, Thriller",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Lilo & Stitch,"Family, Comedy, Science Fiction",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
How to Train Your Dragon,"Action, Family, Fantasy",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Jurassic World Rebirth,"Science Fiction, Adventure, Thriller",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
F1: The Movie,"Action, Drama",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
From the World of John Wick: Ballerina,"Action, Thriller, Crime",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Final Destination: Bloodlines,"Horror, Mystery",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Sinners,"Horror, Thriller",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Thunderbolts*,"Action, Science Fiction, Adventure",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
One to One: John & Yoko,"Documentary, Music",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Black Bag,"Thriller, Mystery, Drama",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
The Accountant,"Crime, Thriller, Action",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Warfare,"War, Action",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Ezra,"Comedy, Drama",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Conclave,"Drama, Thriller, Mystery",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Interstellar,"Adventure, Drama, Science Fiction",Cinesa Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona"
Perfect Days,"Drama",Cinemes Verdi,"Carrer de Verdi, 32, 08012 Barcelona"
The Seed of the Sacred Fig,"Drama, Political",Cinemes Verdi,"Carrer de Verdi, 32, 08012 Barcelona"
La Chimera,"Fantasy, Romance, Drama",Cinemes Verdi,"Carrer de Verdi, 32, 08012 Barcelona"
Robot Dreams,"Animation, Adventure, Drama",Cinemes Verdi,"Carrer de Verdi, 32, 08012 Barcelona"
20,000 Species of Bees,"Drama, Family",Cinemes Verdi,"Carrer de Verdi, 32, 08012 Barcelona"
The Promised Land,"Historical, Drama",Cinemes Verdi,"Carrer de Verdi, 32, 08012 Barcelona"
Kidnapped: The Abduction of Edgardo Mortara,"Drama, Historical",Cinemes Balmes,"Carrer de Balmes, 422, 08022 Barcelona"
Io Capitano,"Adventure, Drama",Cinemes Balmes,"Carrer de Balmes, 422, 08022 Barcelona"
The Animal Kingdom,"Fantasy, Drama",Cinemes Balmes,"Carrer de Balmes, 422, 08022 Barcelona"
L'Amour et les forets,"Drama, Romance",Cinemes Balmes,"Carrer de Balmes, 422, 08022 Barcelona"
Oppenheimer,"Biography, Drama, History",Cinemes Bosque,"Rambla de Prat, 16, 08012 Barcelona"
Barbie,"Comedy, Fantasy",Cinemes Bosque,"Rambla de Prat, 16, 08012 Barcelona"
Killers of the Flower Moon,"Crime, Drama, History",Cinemes Bosque,"Rambla de Prat, 16, 08012 Barcelona"

